"","m1","m2","m3"
"","b/se","b/se","b/se"
"Mileage (mpg)","-49.512","21.854","292.830*"
"","95.807","80.747","153.903"
"Weight (1000 lbs)","1746.559**","3464.706***","5382.755***"
"","777.837","777.617","1084.038"
"Domestic","","0.000","0.000"
"","",".","."
"Foreign","","3673.060***","3369.814***"
"","","664.936","757.931"
"Mileage (mpg) # Weight (1000 lbs)","","","-118.912"
"","","","85.678"
"Constant","1946.068","-5853.696","-1.01e+04***"
"","4213.793","3873.723","3212.972"
"Observations","74","74","74"
"R-squared","0.293","0.500","0.524"
